pmid	pmcid	status	pdf_file	detail
1330820		NO_PMC_RECORD		PubMed reports no PMC copy of this record
1656869	PMC245234	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
1850970	PMC245001	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
1850972	PMC245014	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
2168148	PMC171799	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
2548439	PMC284251	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
3004446		NO_PMC_RECORD		PubMed reports no PMC copy of this record
3050121		NO_PMC_RECORD		PubMed reports no PMC copy of this record
7590165		NO_PMC_RECORD		PubMed reports no PMC copy of this record
7642493	PMC177231	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
7830580		NO_PMC_RECORD		PubMed reports no PMC copy of this record
7840592	PMC284767	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8092823	PMC188195	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8383113	PMC193236	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8384814	PMC187693	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8392306	PMC187948	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8524852	PMC40490	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8540700	PMC162865	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8759860	PMC178279	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8779354		NO_PMC_RECORD		PubMed reports no PMC copy of this record
8807076	PMC163409	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8834879	PMC163115	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8834907	PMC163143	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8849244	PMC163223	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8851598	PMC163185	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8891148	PMC163538	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8913454	PMC163565	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8980760	PMC163665	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
8980775	PMC163680	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
9593127	PMC105745	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
9687412	PMC105868	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
9756773	PMC105915	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
9988045		NO_PMC_RECORD		PubMed reports no PMC copy of this record
10223929	PMC89126	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
10428935	PMC89413	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
10590273		NO_PMC_RECORD		PubMed reports no PMC copy of this record
10639355	PMC89676	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
10681322	PMC89730	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
10799008	PMC89829	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11083635	PMC90200	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11102350	PMC1461348	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11158736	PMC90308	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11302820	PMC90498	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11310803		NO_PMC_RECORD		PubMed reports no PMC copy of this record
11451695	PMC90652	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11451702	PMC90659	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
11699598		NO_PMC_RECORD		PubMed reports no PMC copy of this record
11850260	PMC127492	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
12069978	PMC127293	NOT_IN_BUCKET		no downloadable versions in the PMC Open Data bucket
