266 queries from /home/kodalivk/brc_code/amr_pmid_pdfs/experiment2/experiment2_queries.tsv (concurrency 4, generator: Qwen3.6-35B (local, thinking off), collections: RefAMR)
[1/266] ok   Enterobacter cloacae (acrB) -> 3 rows, 50 sources, 2.08s
[2/266] ok   Staphylococcus aureus (acrB) -> 1 rows, 50 sources, 2.14s
[3/266] ok   Escherichia (acrB) -> 4 rows, 50 sources, 3.78s
[4/266] ok   Acinetobacter baumannii (adeL) -> 1 rows, 50 sources, 0.9s
[5/266] ok   Escherichia (acrR) -> 4 rows, 50 sources, 2.65s
[6/266] ok   Burkholderia cepacia (ampD) -> 1 rows, 50 sources, 0.82s
[7/266] ok   Klebsiella pneumoniae (acrR) -> 3 rows, 50 sources, 3.79s
[8/266] ok   Enterobacter cloacae (ampD) -> 4 rows, 50 sources, 1.85s
[9/266] ok   Pseudomonas aeruginosa (amgS) -> 2 rows, 50 sources, 4.5s
[10/266] ok   Pseudomonas aeruginosa (ampD) -> 3 rows, 50 sources, 4.09s
[11/266] ok   Pseudomonas aeruginosa (ampR) -> 1 rows, 50 sources, 2.01s
[12/266] ok   Burkholderia cepacia (amrR) -> 4 rows, 50 sources, 2.2s
[13/266] ok   Klebsiella pneumoniae (arnC) -> 3 rows, 50 sources, 1.4s
[14/266] ok   Pseudomonas aeruginosa (aroB) -> 1 rows, 50 sources, 1.11s
[15/266] ok   Burkholderia pseudomallei (amrR) -> 7 rows, 50 sources, 3.05s
[16/266] ok   Salmonella (acrB) -> 2 rows, 50 sources, 17.96s
[17/266] ok   Acinetobacter baumannii (baeS) -> 4 rows, 50 sources, 4.81s
[18/266] ok   Acinetobacter baumannii (baeR) -> 5 rows, 50 sources, 6.36s
[19/266] ok   Enterobacter asburiae (baeS) -> 4 rows, 50 sources, 1.42s
[20/266] ok   Escherichia (baeR) -> 1 rows, 50 sources, 6.95s
[21/266] ok   Klebsiella pneumoniae (baeS) -> 4 rows, 50 sources, 2.66s
[22/266] ok   Escherichia (basR) -> 2 rows, 50 sources, 1.21s
[23/266] ok   Burkholderia pseudomallei (bpeR) -> 2 rows, 50 sources, 1.35s
[24/266] ok   Enterobacter cloacae (baeS) -> 5 rows, 50 sources, 4.8s
[25/266] ok   Burkholderia pseudomallei (bpeT) -> 3 rows, 50 sources, 1.65s
[26/266] ok   Streptococcus pneumoniae (cdsA) -> 5 rows, 50 sources, 2.48s
[27/266] ok   Escherichia (baeS) -> 9 rows, 50 sources, 8.89s
[28/266] ok   Enterococcus faecalis (cls) -> 5 rows, 50 sources, 1.35s
[29/266] ok   Escherichia (cirA) -> 11 rows, 50 sources, 4.44s
[30/266] ok   Campylobacter (cmeR) -> 3 rows, 50 sources, 1.32s
[31/266] ok   Enterococcus faecium (cls) -> 5 rows, 50 sources, 3.14s
[32/266] ok   Pseudomonas aeruginosa (cmrA) -> 1 rows, 50 sources, 0.77s
[33/266] ok   Klebsiella pneumoniae (cirA) -> 13 rows, 50 sources, 8.09s
[34/266] ok   Pseudomonas aeruginosa (colS) -> 1 rows, 50 sources, 1.13s
[35/266] ok   Pseudomonas aeruginosa (cprS) -> 1 rows, 50 sources, 1.13s
[36/266] ok   Enterobacter cloacae (cpxA) -> 2 rows, 50 sources, 0.92s
[37/266] ok   Staphylococcus aureus (cls) -> 7 rows, 50 sources, 6.65s
[38/266] ok   Pseudomonas aeruginosa (colR) -> 10 rows, 50 sources, 3.77s
[39/266] ok   Pseudomonas aeruginosa (cpxR) -> 2 rows, 50 sources, 2.08s
[40/266] ok   Pseudomonas aeruginosa (czcS) -> 0 rows, 50 sources, 0.83s
[41/266] ok   Escherichia (cyaA) -> 1 rows, 50 sources, 2.05s
